ID,Date,Time,Fly1,Fly2,Fly3,Fly4,Fly5,Fly6,Fly7,Fly8,Fly9,Fly10,Fly11,Fly12,Fly13,Fly14,Fly15,Fly16,Fly17,Fly18,Fly19,Fly20,Fly21,Fly22,Fly23,Fly24,Fly25,Fly26,Fly27,Fly28,Fly29,Fly30,Fly31,Fly32
396320,2 Jul 20,22:35:00,1,0,0,7,0,3,0,0,4,0,2,0,0,6,0,5,0,0,0,0,0,1,2,0,0,5,3,0,0,0,0,0
396321,2 Jul 20,22:36:00,1,0,0,7,0,4,0,0,0,6,9,0,0,0,0,2,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0
396322,2 Jul 20,22:37:00,1,0,0,4,1,5,0,0,4,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14,12,0,0,0,0,0
396323,2 Jul 20,22:38:00,0,0,0,5,0,4,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,31,0,0,0,0,0
396324,2 Jul 20,22:39:00,0,0,0,2,2,5,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0
396325,2 Jul 20,22:40:00,0,0,0,5,0,5,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
396326,2 Jul 20,22:41:00,0,2,0,1,1,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0
396327,2 Jul 20,22:42:00,0,0,0,5,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
396328,2 Jul 20,22:43:00,0,0,0,2,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
396329,2 Jul 20,22:44:00,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
396330,2 Jul 20,22:45:00,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
396331,2 Jul 20,22:46:00,0,0,0,1,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
396332,2 Jul 20,22:47:00,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
396333,2 Jul 20,22:48:00,0,0,0,0,0,5,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
396334,2 Jul 20,22:49:00,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0
396335,2 Jul 20,22:50:00,0,2,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
396336,2 Jul 20,22:51:00,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
396337,2 Jul 20,22:52:00,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
396338,2 Jul 20,22:53:00,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
396339,2 Jul 20,22:54:00,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
396340,2 Jul 20,22:55:00,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
396341,2 Jul 20,22:56:00,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
396342,2 Jul 20,22:57:00,0,1,0,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
396343,2 Jul 20,22:58:00,0,1,0,0,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
396344,2 Jul 20,22:59:00,0,0,0,0,0,5,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
396345,2 Jul 20,23:00:00,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
396346,2 Jul 20,23:01:00,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0
396347,2 Jul 20,23:02:00,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,0,0
396348,2 Jul 20,23:03:00,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
396349,2 Jul 20,23:04:00,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0
